time_elapsed,pos1,pos2,pos3,vel1,vel2,vel3,torque1,torque2,torque3
1.099,-0.051109,-0.004750,0.155645,-0.131194,-0.007860,0.392568,-1.454850,-31.925668,0.019239
1.109,-0.052441,-0.004831,0.159673,-0.133176,-0.008050,0.402762,-1.461470,-31.925758,0.019170
1.119,-0.053792,-0.004913,0.163805,-0.135161,-0.008247,0.413223,-1.467973,-31.925852,0.019094
1.129,-0.055164,-0.004998,0.168045,-0.137149,-0.008453,0.423959,-1.474358,-31.925952,0.019012
1.139,-0.056555,-0.005085,0.172395,-0.139139,-0.008666,0.434976,-1.480625,-31.926058,0.018925
1.149,-0.057967,-0.005173,0.176857,-0.141131,-0.008889,0.446283,-1.486776,-31.926168,0.018832
1.159,-0.059398,-0.005265,0.181436,-0.143125,-0.009120,0.457886,-1.492809,-31.926284,0.018733
1.169,-0.060849,-0.005358,0.186134,-0.145121,-0.009361,0.469793,-1.498727,-31.926405,0.018628
1.179,-0.062320,-0.005454,0.190954,-0.147117,-0.009611,0.482012,-1.504528,-31.926532,0.018518
1.189,-0.063811,-0.005553,0.195900,-0.149114,-0.009873,0.494552,-1.510215,-31.926664,0.018401
1.199,-0.065322,-0.005655,0.200974,-0.151112,-0.010145,0.507421,-1.515786,-31.926801,0.018278
1.209,-0.066854,-0.005759,0.206180,-0.153109,-0.010429,0.520626,-1.521242,-31.926944,0.018150
1.219,-0.068405,-0.005866,0.211522,-0.155106,-0.010726,0.534178,-1.526585,-31.927092,0.018016
1.229,-0.069976,-0.005976,0.217003,-0.157102,-0.011035,0.548085,-1.531813,-31.927246,0.017875
1.239,-0.071567,-0.006090,0.222626,-0.159097,-0.011357,0.562356,-1.536928,-31.927405,0.017729
1.249,-0.073177,-0.006207,0.228396,-0.161091,-0.011694,0.577001,-1.541930,-31.927569,0.017577
1.259,-0.074808,-0.006327,0.234317,-0.163083,-0.012046,0.592029,-1.546820,-31.927739,0.017419
1.269,-0.076459,-0.006452,0.240391,-0.165072,-0.012413,0.607450,-1.551597,-31.927915,0.017255
1.279,-0.078130,-0.006580,0.246624,-0.167060,-0.012797,0.623275,-1.556263,-31.928096,0.017085
1.289,-0.079820,-0.006712,0.253019,-0.169044,-0.013198,0.639513,-1.560817,-31.928282,0.016909
1.299,-0.081530,-0.006848,0.259581,-0.171025,-0.013618,0.656176,-1.565260,-31.928474,0.016727
1.309,-0.083260,-0.006988,0.266314,-0.173002,-0.014056,0.673274,-1.569592,-31.928671,0.016539
1.319,-0.085010,-0.007133,0.273222,-0.174976,-0.014514,0.690818,-1.573815,-31.928874,0.016345
1.329,-0.086780,-0.007283,0.280310,-0.176946,-0.014994,0.708820,-1.577927,-31.929082,0.016145
1.339,-0.088569,-0.007438,0.287583,-0.178911,-0.015495,0.727292,-1.581930,-31.929296,0.015939
1.349,-0.090377,-0.007598,0.295045,-0.180871,-0.016019,0.746244,-1.585824,-31.929515,0.015727
1.359,-0.092206,-0.007764,0.302702,-0.182826,-0.016568,0.765690,-1.589610,-31.929740,0.015510
1.369,-0.094053,-0.007936,0.310559,-0.184775,-0.017142,0.785642,-1.593287,-31.929970,0.015286
1.379,-0.095921,-0.008113,0.318620,-0.186719,-0.017742,0.806112,-1.596857,-31.930206,0.015056
1.389,-0.097807,-0.008297,0.326891,-0.188657,-0.018371,0.827114,-1.600319,-31.930447,0.014820
1.399,-0.099713,-0.008487,0.335378,-0.190589,-0.019028,0.848660,-1.603675,-31.930694,0.014578
1.409,-0.101638,-0.008684,0.344085,-0.192514,-0.019716,0.870764,-1.606924,-31.930946,0.014331
1.419,-0.103583,-0.008889,0.353020,-0.194433,-0.020437,0.893440,-1.610066,-31.931204,0.014077
1.429,-0.105546,-0.009100,0.362187,-0.196345,-0.021190,0.916702,-1.613103,-31.931467,0.013817
1.439,-0.107528,-0.009320,0.371592,-0.198250,-0.021979,0.940563,-1.616035,-31.931736,0.013552
1.449,-0.109530,-0.009548,0.381243,-0.200147,-0.022805,0.965039,-1.618861,-31.932010,0.013280
1.459,-0.111550,-0.009785,0.391144,-0.202038,-0.023669,0.990144,-1.621584,-31.932289,0.013003
1.469,-0.113590,-0.010031,0.401303,-0.203921,-0.024573,1.015893,-1.624202,-31.932574,0.012719
1.479,-0.115647,-0.010286,0.411726,-0.205796,-0.025519,1.042301,-1.626716,-31.932865,0.012430
1.489,-0.117724,-0.010551,0.422420,-0.207664,-0.026508,1.069383,-1.629127,-31.933161,0.012135
1.499,-0.119819,-0.010826,0.433391,-0.209525,-0.027544,1.097156,-1.631435,-31.933462,0.011833
1.509,-0.121933,-0.011113,0.444648,-0.211378,-0.028627,1.125635,-1.633640,-31.933769,0.011526
1.519,-0.124065,-0.011410,0.456196,-0.213224,-0.029759,1.154836,-1.635744,-31.934081,0.011214
1.529,-0.126216,-0.011720,0.468044,-0.215063,-0.030944,1.184775,-1.637745,-31.934398,0.010895
1.539,-0.128385,-0.012042,0.480199,-0.216895,-0.032182,1.215468,-1.639646,-31.934721,0.010570
1.549,-0.130572,-0.012376,0.492668,-0.218720,-0.033477,1.246932,-1.641445,-31.935049,0.010240
1.559,-0.132778,-0.012725,0.505460,-0.220538,-0.034830,1.279183,-1.643144,-31.935383,0.009904
1.569,-0.135001,-0.013087,0.518582,-0.222351,-0.036244,1.312238,-1.644743,-31.935722,0.009562
1.579,-0.137243,-0.013464,0.532043,-0.224158,-0.037720,1.346113,-1.646242,-31.936066,0.009214
1.589,-0.139502,-0.013857,0.545851,-0.225960,-0.039262,1.380826,-1.647642,-31.936415,0.008861
